CE30_Copyright	Copyright
_wcepb_OomUICallback_IsCritical	OomUICallback_IsCritical
_wcepb_OomUICallback_NonClientPaint	OomUICallback_NonClientPaint
_wcepb_OomUI_CreateNotRespondingWindow	OomUI_CreateNotRespondingWindow
_wcepb_OomUI_CreateOomWindow	OomUI_CreateOomWindow
_wcepb_OomUI_FShowOomWindow	OomUI_FShowOomWindow
_wcepb_OomUI_Initialize	OomUI_Initialize
_wcepb_OomUI_NotRespondingWndProc	OomUI_NotRespondingWndProc
_wcepb_OomUI_OnShow	OomUI_OnShow
_wcepb_OomUI_OomWndProc	OomUI_OomWndProc
_wcepb_OomUI_SetWindowsInfo	OomUI_SetWindowsInfo
_wcepb_PHYSICAL_BASIC_INFORMATION	PHYSICAL_BASIC_INFORMATION
_wcepb_PROCESSOR_INFO	PROCESSOR_INFO
_wcepb_Packet_Filter	Packet Filter
_wcepb_PerfCountSinceTick	PerfCountSinceTick
_wcepb_PersistentPacket	PersistentPacket
_wcepb_ProfileStart	ProfileStart
_wcepb_ProfileStop	ProfileStop
_wcepb_ProfilerHit	ProfilerHit
_wcepb_Protected_Registry_Keys_and_Values	Protected Registry Keys and Values
_wcepb_QueryInfoSession	QueryInfoSession
_wcepb_QueryPerformanceCounter	QueryPerformanceCounter
_wcepb_QueryPerformanceFrequency	QueryPerformanceFrequency
_wcepb_READ_PORT_BUFFER_UCHAR	READ_PORT_BUFFER_UCHAR
_wcepb_READ_PORT_BUFFER_ULONG	READ_PORT_BUFFER_ULONG
_wcepb_READ_PORT_BUFFER_USHORT	READ_PORT_BUFFER_USHORT
_wcepb_READ_PORT_UCHAR	READ_PORT_UCHAR
_wcepb_READ_PORT_ULONG	READ_PORT_ULONG
_wcepb_READ_PORT_USHORT	READ_PORT_USHORT
_wcepb_READ_REGISTER_BUFFER_UCHAR	READ_REGISTER_BUFFER_UCHAR
_wcepb_READ_REGISTER_BUFFER_ULONG	READ_REGISTER_BUFFER_ULONG
_wcepb_READ_REGISTER_BUFFER_USHORT	READ_REGISTER_BUFFER_USHORT
_wcepb_READ_REGISTER_UCHAR	READ_REGISTER_UCHAR
_wcepb_READ_REGISTER_ULONG	READ_REGISTER_ULONG
_wcepb_READ_REGISTER_USHORT	READ_REGISTER_USHORT
_wcepb_RETAILMSG	RETAILMSG
_wcepb_ReadRegistryFromOEM	ReadRegistryFromOEM
_wcepb_RegCopyFile	RegCopyFile
_wcepb_RegRestoreFile	RegRestoreFile
_wcepb_RegisterEditor	RegisterEditor
_wcepb_RegisterTaskBar	RegisterTaskBar
_wcepb_SHx_Variables	SHx Variables
_wcepb_SYSTEM_POWER_STATUS_EX2	SYSTEM_POWER_STATUS_EX2
_wcepb_SchedLogGetProcessName	SchedLogGetProcessName
_wcepb_SchedLogGetThreadProgramCounter	SchedLogGetThreadProgramCounter
_wcepb_SchedLogTranslate	SchedLogTranslate
_wcepb_Securing_a_Platform	Securing a Platform
_wcepb_SetCleanRebootFlag	SetCleanRebootFlag
_wcepb_SetInterruptEvent	SetInterruptEvent
_wcepb_SetKMode	SetKMode
_wcepb_SetKernelCommDev	SetKernelCommDev
_wcepb_SetOOMEvent	SetOOMEvent
_wcepb_SetPassword	SetPassword
_wcepb_SetPasswordActive	SetPasswordActive
_wcepb_SetProcPermissions	SetProcPermissions
_wcepb_SetStoreQueueBase	SetStoreQueueBase
_wcepb_SetSystemMemoryDivision	SetSystemMemoryDivision
_wcepb_Setting_Regional_Preferences	Setting Regional Preferences
_wcepb_SettingsDialogData	SettingsDialogData
_wcepb_Shell_Components	Shell Components
_wcepb_SignalStarted	SignalStarted
_wcepb_Signfileexe	Signfile.exe
_wcepb_Startup_DestroyDialogCallback	Startup_DestroyDialogCallback
_wcepb_Startup_DlgProc	Startup_DlgProc
_wcepb_Startup_Initialize	Startup_Initialize
_wcepb_Startup_PowerOffWhileStartupActiveNotification	Startup_PowerOffWhileStartupActiveNotification
_wcepb_Startup_PowerOnNotification	Startup_PowerOnNotification
_wcepb_Startup_WantStartupScreen	Startup_WantStartupScreen
_wcepb_Supporting_Notifications_on_Your_Platform	Supporting Notifications on Your Platform
_wcepb_System_Events_Database	System Events Database
_wcepb_TimeoutSession	TimeoutSession
