#symbol	book_count	per_book(book|kind|header|library)
_mul_vl	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_mul_vu	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_mula_ob	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_MulHigh	2	mslearn-windows-ce-5.0|function|Cmnintrin.h|	mslearn-windows-ce-net-4x|function|Cmnintrin.h|
_mull_ob	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_muls_ob	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_mulsl_ob	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_Multiply4dM	3	mslearn-windows-ce-5.0|function|shintr.h|	mslearn-windows-ce-net-4x|function|shintr.h|	mslearn-windows-embedded-ce-6.0|function|shintr.h|
_MulUnsignedHigh	2	mslearn-windows-ce-5.0|function|Cmnintrin.h|	mslearn-windows-ce-net-4x|function|Cmnintrin.h|
_Name	3	mslearn-uncategorized|function||	mslearn-windows-ce-5.0|function||	mslearn-windows-embedded-ce-6.0|function||
_NDIS_802_11_AUTHENTICATION_REQUEST	1	mslearn-windows-embedded-ce-6.0|struct||
_NDIS_802_11_PMKID_CANDIDATE_LIST	1	mslearn-windows-embedded-ce-6.0|struct||
_neg_ps	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_neg_sl	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_neg_su	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_neg_vl	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_neg_vu	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_NewEnum	3	mslearn-windows-ce-5.0|interface_method|Rtccore.h|Uuid.lib	mslearn-windows-ce-net-4x|interface_method|Upnp.h|Uuid.lib	mslearn-windows-embedded-ce-6.0|interface_method||uuid.lib
_NewScriptThread	3	mslearn-uncategorized|function||	mslearn-windows-ce-5.0|function||	mslearn-windows-embedded-ce-6.0|function||
_nextafter	1	mslearn-windows-ce-5.0|unknown|stdlib.h|coredll.dll
